courseName,courseDescription,courseNumber
First Person Singular,"What's up? What's happening? What's new? How you been? How you doing? We say these things every time we meet a friend --and we really want to know. Readers of memoirs ask these or similar questions, and memoirists give us the answers -- beautifully. We're lucky that curious people have so many memoirs to choose from. And for the last several years we've had memoirs from all over the world, not just the United States. This First Year Seminar studies the contemporary memoir in a multicultural setting. Through the books we read, we travel to such places as Somalia, the Sudan, Egypt, and Cuba. Students write critical essays about the memoir in general and the books we read in particular. They also write their own short memoirs -- vignettes from their life. And students do research on the day they were born and complete an oral presentation on the findings. The course ends with students writing a final essay on what they think constitutes a good memoir.",FSEM 003
"Pin-Ups, Princesses and Femme Fatales: Women in American Popular Culture","This writing instructive class examines the relationship between women and popular culture in 20th century history.  Looking analytically at popular texts from a variety of media, including film, comics, and television we'll ask:  How is gender being represented and performed in pop culture?  What forms of pop culture have been specifically targeted at women?  How have women resisted or co-opted the messages they have received?  What kinds of fears or anxieties about women did pop culture elicit and how did Americans negotiate those anxieties?  The course takes an interdisciplinary perspective on the questions above using students own expertise as consumers of popular culture as an entryway for exploring the diverse roles mass-mediated popular culture has played in 20th century history.  In doing so, this class will be a space for critical engagement and dialogue regarding how forms of popular culture work and how we can become critical consumers of culture.",FSEM 004
"Stealing Art, Saving Art","What motivates people to collect art? What motivates people to steal art? What motivates rare individuals to fake art? In this FSEM, students look at the seamy underside and the high-minded public face of cultural property, and the art world, from Nazi looters to museum directors. Among the topics considered: the transition from the Indiana Jones era of archaeology to scientific excavation; Goering's art looting and contemporary art restitution processes' the role of art museums in the restoration, conservation, and exhibition of art; and the complicated business of art fraud and forgery.",FSEM 011
Banned and Burned: Censorship and the Arts,"What makes art beautiful to one person and obscene to another? In the 1971 Supreme Court case<em>Cohen v. California</em>, Justice John Marshall Harlan II famously wrote, ""one man's vulgarity is another's lyric."" This course will explore iconic instances of censorship in theatre, performance art, literature, and visual arts throughout the twentieth and twenty-first centuries. From the burning of books to the revocation of federal arts funding to recent cancellations of high school plays, we will study the ways in which the arts have become lightning rods of controversy. We will examine historical documents, legal proceedings, and activist responses in order to situate high-profile instances of arts censorship within their cultural context. How far is too far when it comes to aesthetic expression? Is there such a thing as ""too far"" in art and performance? What are the legal, ethical, and aesthetic ramifications of censorship in the arts??",FSEM 012
Why Are Some Countries Rich?,"Why are some countries rich while others remain poor? The answer matters because ""rich"" versus ""poor"" translates into significant differences in the quality of life of the ""average"" person in these countries. The history of the post-WWII period is littered with the corpses of ""big ideas"" that purported to answer this question and thus provide the key to growth. Colonial exploitation, low investment rates, inadequate spending on education, insufficient financial liberalization, among others, all failed to answer the question by themselves and certainly didn't provide the magic elixir for growth. We will examine the merits and the failings of these big ideas and consider some newer proposals as well. We'll particularly look at the roles of geography and of political, social and economic institutions and the incentives they create. There may be no single big idea that will work for every country, but we will identify some characteristics that clearly separate the ""poor"" from the ""not so poor."" ",FSEM 029
Interrogating Race in the United States and South Africa,"Do we live in a post-racial world or a new Jim Crow society? What are the legacies of slavery, segregation, and apartheid? What is meant by white privilege? How do we value human life and what are the ways of developing emancipatory movements? This course examines the parallel structures of segregation in the United States and apartheid in South Africa. The basic premise is that through the lens of another culture we can come to examine our own. The causes and effects of segregation and apartheid on contemporary race relations are the central focus. How race affects gender, class, and social spaces is explored throughout the readings.",FSEM 042
Bird Obsessions: Beauty of Beast,"We are a world obsessed with birds; bird watching is one of the most popular hobbies in the nation and bird enthusiasts spend thousands of dollars on equipment, bird feeders, and on vacations to catch a glimpse of unseen species. Conservationists advocate spending millions of dollars on saving and protecting birds, such as the ivory-billed woodpecker and the California condor, from extinction. Why are we so obsessed with birds? Is it their amazing ability to fly, their almost implausible migrations, their vibrant colors, their curious personalities? What do birds represent to us and other cultures? In some religions, birds have been invoked as symbols of peace, power, trickery, gluttony, and intelligence. Do the lives of birds really embody these anthropomorphic characteristics? Do birds represent hope for spring, for the environment, or for the future? In this course, we'll examine the lives of birds, the people who are obsessed with them, and their interactions from a variety of perspectives. We'll explore birds as models for conservation and science, as religious symbols, and as subjects of art and literature. You'll also have an opportunity to connect with the environment of the Finger Lake region by learning about and observing our local birds. ",FSEM 056
Tales of the Village Idiot,"In this course, students survey the wealth of Russian folk tales, epic songs, legends, riddles and other elements of the oral tradition as well as the later literature these genres inspired. Students examine characters such as the Firebird, Baba-Yaga the witch, Koshchei the Deathless and llya Muromets, and read many types of folktales, including magical, animal and ""idiot"" tales. Materials include art and music arising from the Russian folk tradition. Students also consider the role of folklore in contemporary American life, and the ways in which some genres continue to produce new examples of folklore.",FSEM 058
Thinking Critically about God,"The concept of God has shaped how billions of people have lived their lives. Different religions have different ideas about God, but there are some common themes, and many of them raise serious questions: If God is all-powerful, can he create a rock so heavy he cannot lift it? If God is all good, then why is there evil in the world? If God is all-knowing (including the future), then how can I have free will? We will examine these and many other tough questions by reading classic and contemporary writings. Students will engage in at least two structured classroom debates and will also write frequently about many challenging topics. This course is a rational inquiry into these issues that is open to everyone, regardless of their belief system. Please note: There will be several required films outside of regularly scheduled class times. ",FSEM 066
Sustainable Living and Learning,"We are all consumers. We buy things. We use things up. We throw things away. Often we do all of this without considering the life cycle of these ""things."" Think about all the t-shirts you own. Do you know what materials make up your t-shirts? Moreover, do you know what was required to get these t-shirts to you in the first place? While these questions may seem to have simple answers, the reality is that each of the ""things"" we consume has a complex secret life of its own, one worthy of further consideration. This course will explore the complex relationship between sustainability and consumption, paying specific attention to the myriad ways in which individual consumption practices shape global outcomes. ",FSEM 078
